date,people_vaccinated
2022-04-20,175616
2022-04-21,403047
2022-04-22,484393
2022-04-24,893334
2022-04-25,186075
2022-04-26,559685
2022-04-27,525457
2022-04-28,465152
2022-04-29,720065
2022-04-30,354180
